Scenario,Test_Examples,Baseline_Score,Baseline_CI_Lower,Baseline_CI_Upper,Static_LoRA_Score,Static_LoRA_CI_Lower,Static_LoRA_CI_Upper,BEM_P3_Score,BEM_P3_CI_Lower,BEM_P3_CI_Upper
Distribution Shift,742,0.445,0.43026772795709484,0.4602863948222503,0.382,0.35959896983935147,0.4067383493224188,0.441,0.4257004765604862,0.45663494542135835
Low-Quality Retrieval,628,0.425,0.4067622991257677,0.4425836709215733,0.397,0.3677325907381078,0.4211748403221187,0.419,0.4009929904133139,0.4373242803010905
Multi-Task Interference,856,0.448,0.43424806925893916,0.4619557669964144,0.404,0.37780298890603403,0.4307063565634853,0.445,0.42915253793851427,0.4613663548605357
Out-of-Distribution,591,0.435,0.41826144918714464,0.45148434943862364,0.387,0.35829619149735037,0.4147307403120492,0.438,0.4198727077638987,0.4555675902851653
